"id","polygon"
building_405,POINT(2.34729 48.86398)
building_406,POINT(2.34677 48.86406)
building_407,POINT(2.34657 48.86393)
building_408,POINT(2.34716 48.8642)
building_409,POINT(2.34703 48.86411)
building_413,POINT(2.34364 48.8583)
building_414,POINT(2.34502 48.85793)
building_416,POINT(2.33525 48.86483)
building_417,POINT(2.33555 48.86487)
building_418,POINT(2.33578 48.86502)
building_419,POINT(2.33598 48.86517)
building_420,POINT(2.33588 48.8651)
building_421,POINT(2.33615 48.86534)
building_422,POINT(2.33626 48.8654)
building_423,POINT(2.33635 48.86547)
building_424,POINT(2.33631 48.86478)
building_425,POINT(2.33634 48.86491)
building_426,POINT(2.33613 48.86516)
building_427,POINT(2.33651 48.86519)
building_429,POINT(2.34799 48.86264)
building_430,POINT(2.34813 48.86308)
building_431,POINT(2.34834 48.86336)
building_432,POINT(2.32454 48.86696)
building_433,POINT(2.32436 48.86635)
building_435,POINT(2.3389 48.8624)
building_436,POINT(2.3393 48.86309)
building_437,POINT(2.33918 48.86311)
building_438,POINT(2.34549 48.86389)
building_439,POINT(2.3453 48.86423)
building_440,POINT(2.34524 48.86434)
building_441,POINT(2.34519 48.86444)
building_442,POINT(2.34513 48.86453)
building_443,POINT(2.34509 48.86461)
building_445,POINT(2.34595 48.86354)
building_446,POINT(2.34577 48.86381)
building_447,POINT(2.3457 48.86393)
building_448,POINT(2.34567 48.86399)
building_449,POINT(2.34562 48.86408)
building_450,POINT(2.34554 48.86423)
building_451,POINT(2.34547 48.86437)
building_452,POINT(2.34573 48.86455)
building_453,POINT(2.34621 48.86331)
building_454,POINT(2.34627 48.86342)
building_455,POINT(2.34631 48.86355)
building_456,POINT(2.34635 48.86367)
building_457,POINT(2.34638 48.86375)
building_459,POINT(2.34643 48.86393)
building_460,POINT(2.34646 48.864)
building_461,POINT(2.34649 48.86409)
building_462,POINT(2.34653 48.86423)
building_463,POINT(2.34637 48.86439)
building_464,POINT(2.34649 48.86358)
building_465,POINT(2.34651 48.86363)
building_466,POINT(2.34653 48.8637)
building_467,POINT(2.34652 48.86376)
building_468,POINT(2.34654 48.86384)
building_469,POINT(2.34667 48.86419)
building_470,POINT(2.33674 48.86456)
building_471,POINT(2.33607 48.86401)
building_472,POINT(2.33617 48.8642)
building_473,POINT(2.33647 48.86478)
building_474,POINT(2.33675 48.86532)
building_475,POINT(2.3368 48.8654)
building_476,POINT(2.33694 48.86567)
building_477,POINT(2.33715 48.86608)
building_478,POINT(2.33725 48.86626)
building_479,POINT(2.33729 48.86632)
building_480,POINT(2.33668 48.86445)
building_483,POINT(2.33714 48.86534)
building_484,POINT(2.33722 48.8655)
building_486,POINT(2.33736 48.86577)
building_487,POINT(2.33744 48.86593)
building_488,POINT(2.32939 48.86538)
building_489,POINT(2.32911 48.86547)
building_490,POINT(2.32895 48.86552)
building_491,POINT(2.32879 48.86557)
building_492,POINT(2.32602 48.86648)
building_495,POINT(2.32958 48.86544)
building_496,POINT(2.32925 48.86555)
building_497,POINT(2.32901 48.86562)
building_498,POINT(2.32883 48.86568)
building_499,POINT(2.32868 48.86573)
building_501,POINT(2.3277 48.86618)
building_502,POINT(2.32731 48.86618)
building_503,POINT(2.32712 48.86624)
building_504,POINT(2.32707 48.86643)
building_505,POINT(2.32686 48.86633)
building_506,POINT(2.32675 48.86636)
building_509,POINT(2.32626 48.86652)
building_510,POINT(2.33473 48.86677)
building_511,POINT(2.33507 48.86696)
building_512,POINT(2.33512 48.86705)
building_513,POINT(2.33498 48.86648)
building_514,POINT(2.33511 48.86673)
building_515,POINT(2.33516 48.86682)
building_516,POINT(2.33526 48.867)
building_517,POINT(2.33486 48.86419)
building_518,POINT(2.33433 48.86475)
building_519,POINT(2.33451 48.865)
building_521,POINT(2.3343 48.86547)
building_522,POINT(2.33407 48.86576)
building_523,POINT(2.33399 48.86593)
building_524,POINT(2.33386 48.8665)
building_525,POINT(2.33366 48.86669)
building_526,POINT(2.33371 48.86686)
building_527,POINT(2.33547 48.86426)
building_528,POINT(2.33524 48.86436)
building_529,POINT(2.33476 48.86547)
building_530,POINT(2.33457 48.86591)
building_531,POINT(2.33514 48.86499)
building_532,POINT(2.34011 48.8614)
building_534,POINT(2.34592 48.85567)
building_536,POINT(2.34186 48.85647)
building_537,POINT(2.34174 48.85656)
building_538,POINT(2.34154 48.85675)
building_539,POINT(2.34498 48.85851)
building_540,POINT(2.34018 48.86239)
building_542,POINT(2.33974 48.86266)
building_543,POINT(2.34167 48.86051)
building_545,POINT(2.34816 48.8628)
building_546,POINT(2.33913 48.86617)
building_547,POINT(2.33829 48.86637)
building_549,POINT(2.33766 48.86651)
building_550,POINT(2.33712 48.86664)
building_551,POINT(2.33696 48.86667)
building_552,POINT(2.3368 48.86671)
building_553,POINT(2.33664 48.86675)
building_554,POINT(2.33627 48.86684)
building_556,POINT(2.3361 48.86688)
building_558,POINT(2.33476 48.86719)
building_559,POINT(2.33423 48.86731)
building_561,POINT(2.34884 48.8634)
building_562,POINT(2.348 48.86129)
building_563,POINT(2.34834 48.86188)
building_564,POINT(2.34852 48.86199)
building_565,POINT(2.34907 48.86352)
building_566,POINT(2.34882 48.86301)
building_567,POINT(2.34464 48.86118)
building_570,POINT(2.34422 48.86042)
building_571,POINT(2.34431 48.86053)
building_572,POINT(2.34448 48.86075)
building_574,POINT(2.34429 48.8599)
building_576,POINT(2.34444 48.86027)
building_577,POINT(2.34456 48.86043)
building_578,POINT(2.34466 48.86055)
building_579,POINT(2.34477 48.8607)
building_580,POINT(2.34492 48.86088)
building_581,POINT(2.34891 48.86191)
building_582,POINT(2.34874 48.86195)
