"building_id","building_point_wkt"
452,POINT(2.34573370488995 48.86454580047018)
457,POINT(2.346375104889665 48.863754000470124)
461,POINT(2.346487404889656 48.86409380047013)
462,POINT(2.34653470488965 48.864234000470155)
463,POINT(2.346372304889719 48.86439160047013)
468,POINT(2.346543604889615 48.86383960047012)
470,POINT(2.336738004893036 48.86455830047066)
471,POINT(2.336066504893221 48.86400800047063)
478,POINT(2.337249804893 48.86626170047069)
479,POINT(2.337285104892993 48.86632330047067)
486,POINT(2.337359304892921 48.86576790047065)
488,POINT(2.329391404895622 48.865375700471034)
489,POINT(2.329110104895727 48.86546780047105)
490,POINT(2.328948004895787 48.86551820047104)
491,POINT(2.328787804895846 48.86557350047106)
492,POINT(2.326016204896871 48.86647540047119)
495,POINT(2.329575704895565 48.86544110047101)
496,POINT(2.329252704895684 48.86554620047103)
497,POINT(2.329012104895773 48.865624400471056)
498,POINT(2.328828004895842 48.86568440047106)
501,POINT(2.327852504896208 48.86608090047113)
502,POINT(2.327309604896402 48.86618050047117)
503,POINT(2.327118704896473 48.86624260047117)
504,POINT(2.326977604896526 48.86628850047117)
506,POINT(2.326747304896612 48.86636340047119)
508,POINT(2.326470404896712 48.86645350047122)
509,POINT(2.326264504896789 48.86652060047123)
510,POINT(2.334398004894016 48.866726600470834)
517,POINT(2.334856304893652 48.864190900470724)
518,POINT(2.334598404893789 48.86479020047075)
519,POINT(2.334509804893837 48.864996100470734)
521,POINT(2.334304704893947 48.86547310047076)
523,POINT(2.334093504894059 48.865963400470804)
524,POINT(2.333861204894181 48.86650400047084)
526,POINT(2.333709704894263 48.86685620047086)
527,POINT(2.335292804893506 48.864229300470704)
528,POINT(2.335235004893537 48.864363200470684)
529,POINT(2.33475890489379 48.8654713004708)
530,POINT(2.33457220489389 48.86590530047079)
532,POINT(2.340107004891622 48.86139500047034)
534,POINT(2.34592010488916 48.855669500469844)
539,POINT(2.344794404889778 48.85849640047002)
542,POINT(2.339740404891851 48.8626594004704)
543,POINT(2.341665004891016 48.860511000470254)
546,POINT(2.339128504892348 48.86616750047056)
553,POINT(2.336641704893248 48.866752200470714)
554,POINT(2.336265704893386 48.86683990047074)
559,POINT(2.334234404894121 48.86731270047086)
560,POINT(2.334068904894159 48.86707890047087)
562,POINT(2.347996404888908 48.861293100469936)
565,POINT(2.349070804888723 48.863522000469985)
570,POINT(2.344221304890131 48.86042220047011)
571,POINT(2.344307104890111 48.860531700470126)
576,POINT(2.344441604890043 48.8602731004701)
577,POINT(2.344563704890014 48.860429400470075)
578,POINT(2.344655604889993 48.860546600470066)
580,POINT(2.344915904889931 48.86087970047007)
587,POINT(2.34865630488876 48.86225070046994)
592,POINT(2.33209900489459 48.86407970047083)
593,POINT(2.332726604894407 48.86448010047082)
594,POINT(2.33377230489419 48.86623570047085)
597,POINT(2.333400404894277 48.86573330047086)
598,POINT(2.332706304894438 48.86479770047083)
599,POINT(2.332824804894411 48.86495780047083)
601,POINT(2.332401304894502 48.86429880047082)
602,POINT(2.332488404894482 48.86441370047083)
603,POINT(2.332502004894485 48.86451800047082)
606,POINT(2.333376604894247 48.8652530004708)
607,POINT(2.333506304894215 48.86542720047081)
612,POINT(2.348461204888866 48.86271930046998)
617,POINT(2.335935604893277 48.86413950047065)
618,POINT(2.336086804893244 48.864364300470676)
620,POINT(2.336403904893189 48.86503080047065)
622,POINT(2.336173604893341 48.86592470047072)
623,POINT(2.337000904893078 48.86616660047069)
624,POINT(2.33708370489306 48.86626810047071)
625,POINT(2.337145804893046 48.86638420047068)
630,POINT(2.33660000489312 48.865015600470656)
641,POINT(2.341399104891113 48.86059360047023)
642,POINT(2.340942004891276 48.860671000470276)
647,POINT(2.346805104889117 48.858848400469924)
652,POINT(2.346682004889183 48.85913090046991)
653,POINT(2.346074804889406 48.85932850046996)
654,POINT(2.345947104889454 48.859369700469976)
655,POINT(2.34368220489029 48.860104100470124)
660,POINT(2.339389504891887 48.86162860047038)
661,POINT(2.337911004892463 48.86245100047051)
662,POINT(2.334710904893604 48.863002400470656)
664,POINT(2.334318204893748 48.86313120047068)
665,POINT(2.334079904893836 48.8632057004707)
666,POINT(2.333535304894038 48.863381700470754)
667,POINT(2.333076504894208 48.86353040047076)
668,POINT(2.3328311048943 48.863610100470794)
669,POINT(2.332479104894436 48.8638120004708)
670,POINT(2.331238004894885 48.86412630047088)
671,POINT(2.331154304971431 48.86414821785692)
672,POINT(2.330638504895109 48.86432250047092)
673,POINT(2.330492204895163 48.86436690047095)
676,POINT(2.329189304895645 48.864793900471)
677,POINT(2.328864004895765 48.86490120047104)
678,POINT(2.32870960489582 48.86494890047106)
680,POINT(2.327648104896214 48.865293500471104)
682,POINT(2.325594204896974 48.86595640047123)
683,POINT(2.324853304897247 48.86619820047127)
684,POINT(2.324589104897345 48.8662822004713)
687,POINT(2.326182104896782 48.866092900471216)
689,POINT(2.326345704896744 48.86631220047122)
690,POINT(2.343231304890455 48.86024940047015)
692,POINT(2.343696504890342 48.860781000470155)
695,POINT(2.343585204890334 48.86022160047012)
702,POINT(2.347126004888978 48.85847800046989)
704,POINT(2.348050304888795 48.86014930046992)
