"building_id","building_polygon_wkt"
33,"MULTIPOLYGON(((2.333059704894412 48.86595260047086,2.333097204894398 48.86594210047087,2.333107004894395 48.86595580047087,2.33312210489439 48.86595290047085,2.333132904894388 48.86595560047088,2.333354404894317 48.86601730047085,2.333303104894341 48.86610830047086,2.333162504894385 48.86606770047086,2.333139804894393 48.86606120047087,2.333130604894397 48.86606590047086,2.333097904894404 48.86601670047086,2.333094404894405 48.86601100047087,2.333059704894412 48.86595260047086)))"
37,"MULTIPOLYGON(((2.334000004894002 48.864884600470795,2.334264804893912 48.86488350047075,2.334289504893902 48.864888200470766,2.33427580489391 48.86492120047076,2.334274304893911 48.86492470047075,2.33425680489392 48.864965100470776,2.334255704893922 48.864967500470755,2.334235004893932 48.86501740047076,2.334001504894012 48.86501940047079,2.334000004894002 48.864884600470795)))"
38,"MULTIPOLYGON(((2.334002504894023 48.8651475004708,2.334169004893966 48.86514680047076,2.334268604893932 48.865164700470764,2.334437404893878 48.865197000470786,2.334381404893907 48.86532740047077,2.334003304894031 48.865256900470804,2.334002504894023 48.8651475004708)))"
39,"MULTIPOLYGON(((2.333851504894103 48.86549040047082,2.334056004894038 48.86555030047082,2.334268904893967 48.865588600470794,2.334212704893999 48.86571960047078,2.334028504894058 48.86568850047079,2.333987704894072 48.86568000047081,2.333972704894076 48.86567640047078,2.333922604894093 48.865662500470826,2.333917104894093 48.865661000470844,2.333769004894142 48.86561730047083,2.333793504894128 48.86557970047083,2.333851504894103 48.86549040047082)))"
41,"MULTIPOLYGON(((2.342300204890804 48.86058080047021,2.342235004890823 48.860560600470215,2.34218750489084 48.860576100470205,2.342124004890864 48.86059670047021,2.341799904890985 48.860702000470226,2.341706104891018 48.86073240047025,2.341626904891048 48.86075830047025,2.34162570489105 48.86075870047025,2.341331304891157 48.86085430047026,2.341315204891166 48.86087960047028,2.341368104891157 48.860999600470265,2.341404004891146 48.86101230047028,2.341671204891051 48.860970800470234,2.34167400489105 48.86097020047024,2.341675304891049 48.86097590047023,2.341870804890981 48.860940600470244,2.342079504890907 48.86092170047025,2.342262604890845 48.86091130047023,2.342404704890792 48.860899800470214,2.342395604890792 48.860829300470215,2.342381504890787 48.8607169004702,2.3423417048908 48.860720900470206,2.342330604890801 48.860680800470206,2.342300204890804 48.86058080047021)))"
45,"MULTIPOLYGON(((2.33771120489283 48.86610580047063,2.337822404892789 48.866079200470644,2.337988804892728 48.86603950047059,2.338003604892725 48.86606630047061,2.338077004892712 48.866202700470616,2.337948904892757 48.86623340047062,2.337908904892772 48.86624280047063,2.337796904892814 48.86626970047065,2.33771120489283 48.86610580047063)))"
61,"MULTIPOLYGON(((2.341924804891054 48.862057900470276,2.342004104891039 48.862225000470275,2.342145904890986 48.862192400470285,2.342280004890941 48.862161600470266,2.342273504890941 48.862147600470266,2.34220790489095 48.86200690047025,2.342088404890995 48.86203030047026,2.34204780489101 48.86203820047029,2.341993304891028 48.86204890047029,2.341924804891054 48.862057900470276)))"
62,"MULTIPOLYGON(((2.341792704891138 48.86252420047031,2.341801804891133 48.86252180047032,2.341803604891132 48.86251950047031,2.341802304891133 48.862519000470314,2.341796404891134 48.8625164004703,2.341791004891136 48.86251370047029,2.341785704891136 48.86250950047032,2.341781904891138 48.862505500470306,2.34177890489114 48.86250060047029,2.341777104891139 48.862496000470315,2.34177610489114 48.86249050047031,2.341776904891139 48.86248600047031,2.341778704891137 48.8624806004703,2.341781204891137 48.8624762004703,2.341785504891134 48.86247160047031,2.341789904891134 48.862468100470295,2.34179610489113 48.862464600470304,2.341802204891128 48.8624621004703,2.341803604891128 48.862461500470296,2.341809904891125 48.862459900470284,2.341816604891122 48.86245880047031,2.341818604891122 48.86245860047032,2.34182570489112 48.8624583004703,2.341831904891118 48.86245870047031,2.341833004891117 48.862458800470314,2.341839904891113 48.8624600004703,2.341846604891112 48.862461700470305,2.341848404891114 48.862459300470306,2.341845304891112 48.86245320047032,2.341847504891111 48.86245270047032,2.34184720489111 48.86245210047029,2.342298504890948 48.8623473004703,2.342297304890949 48.86234520047026,2.342388604890915 48.862324200470276,2.342433604890907 48.86240970047028,2.342447604890904 48.86243630047026,2.342408004890919 48.86245500047028,2.342370904890934 48.862475600470276,2.342345204890945 48.862492000470276,2.342309304890959 48.86251800047029,2.34228270489097 48.86254000047028,2.342255104890981 48.86256590047029,2.342238104890989 48.862584900470296,2.342212304891001 48.86261790047027,2.342195704891008 48.8626428004703,2.342178904891017 48.86267310047031,2.342169204891022 48.862695100470305,2.34215730489103 48.86273060047031,2.342152204891032 48.8627505004703,2.342146704891036 48.8627848004703,2.342146404891037 48.862789300470304,2.342145204891039 48.862819000470296,2.342147204891041 48.862853500470315,2.342142004891043 48.86285450047029,2.342107304891056 48.8628624004703,2.341977804891104 48.86289180047032,2.341948004891108 48.862833800470284,2.341951204891107 48.86283310047032,2.341792704891137 48.862526000470304,2.341793704891136 48.86252580047031,2.341792704891138 48.86252420047031)))"
67,"MULTIPOLYGON(((2.344985104889772 48.859229700470024,2.344951604889778 48.859159600470015,2.34486080488981 48.859184100470046,2.344832604889822 48.85919120047005,2.344827904889821 48.859178200470026,2.344816304889823 48.859147000470024,2.344805704889825 48.85911890047003,2.344758104889841 48.85913140047004,2.344748404889843 48.85911330047003,2.344745104889845 48.85910760047003,2.344613804889892 48.85914480047004,2.344594504889899 48.859150300470034,2.344578204889905 48.859155000470025,2.34451350488993 48.85918180047005,2.344475904889945 48.85919730047004,2.344417904889964 48.85922100047006,2.344392804889976 48.859232200470046,2.344426604889964 48.859243900470055,2.3446527048899 48.859396800470044,2.344698204889887 48.85943960047005,2.344709604889883 48.85943440047005,2.344714004889882 48.85943510047005,2.344794504889859 48.85949530047005,2.344834604889845 48.85950050047005,2.345054104889765 48.859430100470036,2.345070104889757 48.85940540047004,2.345012404889767 48.85928740047002,2.344985104889772 48.859229700470024)))"
68,"MULTIPOLYGON(((2.344766704889761 48.858182700469975,2.344763904889762 48.85817210046998,2.344812804889743 48.85815840047,2.344835504889735 48.85815210046999,2.344797704889743 48.85808980046999,2.344738004889756 48.85799260047001,2.344542804889827 48.85804480047,2.344650504889805 48.85821780047,2.344708904889783 48.85819860047,2.344766704889761 48.858182700469975)))"
